session,timestamp,tgbhi,tgbhe,bh,bs,globo,hr,hdx
1,2024-09-06 23:47:00,23.2,23.2,21.9,26.7,26.4,64.0,34.0
1,2024-09-06 23:48:00,23.1,23.1,21.8,26.5,26.3,64.5,32.0
1,2024-09-06 23:49:00,23.1,23.1,21.8,26.3,26.2,65.2,32.0
1,2024-09-06 23:50:00,23.0,23.0,21.7,26.2,26.2,65.6,32.0
1,2024-09-06 23:51:00,22.9,23.0,21.7,26.1,26.0,66.0,32.0
1,2024-09-06 23:52:00,22.9,22.9,21.6,26.0,26.0,66.4,0.0
1,2024-09-06 23:53:00,22.9,22.9,21.6,26.0,26.0,66.6,32.0
1,2024-09-06 23:54:00,22.8,22.8,21.6,25.9,25.9,66.6,32.0
1,2024-09-06 23:55:00,22.8,22.8,21.6,25.9,25.9,66.7,32.0
1,2024-09-06 23:56:00,22.8,22.8,21.6,25.9,25.8,67.0,33.0
1,2024-09-06 23:57:00,22.8,22.8,21.6,25.8,25.8,66.9,32.0
1,2024-09-06 23:58:00,22.8,22.8,21.6,25.8,25.8,67.1,33.0
1,2024-09-06 23:59:00,22.8,22.8,21.6,25.8,25.8,67.2,33.0
1,2024-09-06 00:00:00,22.8,22.8,21.6,25.8,25.8,67.2,33.0
1,2024-09-06 00:01:00,22.7,22.7,21.5,25.8,25.8,67.0,33.0
1,2024-09-06 00:02:00,22.7,22.7,21.5,25.8,25.8,67.1,33.0
1,2024-09-06 00:03:00,22.7,22.7,21.5,25.8,25.8,66.9,32.0
1,2024-09-06 00:04:00,22.7,22.7,21.5,25.8,25.8,66.6,32.0
1,2024-09-06 00:05:00,22.7,22.7,21.5,25.8,25.8,66.6,32.0
1,2024-09-06 00:06:00,22.7,22.7,21.4,25.8,25.8,66.5,32.0
1,2024-09-06 00:07:00,22.7,22.7,21.4,25.8,25.8,66.5,32.0
1,2024-09-06 00:08:00,22.6,22.6,21.4,25.7,25.7,66.5,32.0
1,2024-09-06 00:09:00,22.6,22.6,21.4,25.7,25.7,66.6,32.0
1,2024-09-06 00:10:00,22.7,22.7,21.4,25.7,25.8,66.5,32.0
1,2024-09-06 00:11:00,22.6,22.6,21.4,25.7,25.7,66.5,32.0
1,2024-09-06 00:12:00,22.6,22.6,21.4,25.7,25.7,66.5,32.0
1,2024-09-06 00:13:00,22.6,22.6,21.3,25.6,25.7,66.6,32.0
1,2024-09-06 00:14:00,22.5,22.5,21.3,25.6,25.6,66.6,32.0
1,2024-09-06 00:15:00,22.5,22.5,21.3,25.6,25.6,66.6,32.0
1,2024-09-06 00:16:00,22.5,22.5,21.3,25.6,25.5,66.6,32.0
1,2024-09-06 00:17:00,22.4,22.4,21.2,25.5,25.5,66.7,32.0
1,2024-09-06 00:18:00,22.5,22.5,21.3,25.5,25.5,66.7,32.0
1,2024-09-06 00:19:00,22.4,22.4,21.2,25.5,25.5,66.7,32.0
1,2024-09-06 00:20:00,22.5,22.5,21.3,25.5,25.5,66.9,32.0
1,2024-09-06 00:21:00,22.5,22.5,21.3,25.5,25.5,66.9,32.0
1,2024-09-06 00:22:00,22.4,22.4,21.2,25.4,25.5,66.9,31.0
1,2024-09-06 00:23:00,22.5,22.5,21.3,25.5,25.4,67.0,31.0
1,2024-09-06 00:24:00,22.4,22.4,21.2,25.5,25.5,66.9,31.0
1,2024-09-06 00:25:00,22.5,22.5,21.3,25.5,25.5,66.9,32.0
1,2024-09-06 00:26:00,22.4,22.4,21.2,25.5,25.5,66.9,31.0
1,2024-09-06 00:27:00,22.4,22.4,21.2,25.4,25.5,67.0,31.0
1,2024-09-06 00:28:00,22.5,22.5,21.3,25.5,25.5,67.0,31.0
1,2024-09-06 00:29:00,22.4,22.4,21.2,25.4,25.5,67.0,31.0
1,2024-09-06 00:30:00,22.5,22.5,21.3,25.5,25.5,67.0,31.0
