velocidad_aire,0,0.25,0.5,0.75,1,1.25,1.5
0.05,0.004,0.0032,0.0026,0.0021,0.0018,0.0014,0.0012
0.1,0.004,0.0032,0.0026,0.0021,0.0018,0.0014,0.0012
0.15,0.004,0.0033,0.0027,0.0022,0.0018,0.0014,0.0012
0.2,0.0041,0.0034,0.0028,0.0023,0.0018,0.0014,0.0012
0.3,0.0043,0.0036,0.003,0.0024,0.0019,0.0015,0.0013
0.4,0.0047,0.0037,0.0031,0.0025,0.0019,0.0015,0.0013
0.5,0.0048,0.0039,0.0033,0.0026,0.002,0.0016,0.0014
1,0.0054,0.0044,0.0036,0.0028,0.0024,0.002,0.0016
1.5,0.0055,0.0045,0.0037,0.0029,0.0025,0.002,0.0016
