Identificador;Descripción del requerimiento;RequisitoPrevio
R.SH-1; El sistema deberá poder calcular el índice TGBH, acorde a lo establecido en la norma 7243.;-
R.SH-2; El sistema deberá poder calcular el índice ISR (índice de sudoración requerida).;-
R.SH-3; El sistema deberá poder calcular el índice UV.;-
R.SH-4; Los datos medidos e índices de estrés térmico calculados deberán poder ser almacenados en un servidor en la nube.;-
R.SH-5; Los datos deberán poder ser almacenados localmente, al menos por seis meses.;-
R.SH-6; El sistema deberá poder resistir las condiciones ambientales del lugar de instalación, en las fincas de caña de azúcar de Costa Rica, incluyendo polvo y lluvia.;-
R.SH-7; El sistema deberá generar alertas a través del software de monitoreo de condiciones ambientales, cuando los índices de estrés térmico que calcule el sistema, excedan un límite dado.;-
R.SH-8; El sistema deberá poder ser actualizable en su firmware, de manera local.;-
R.SH-9; El sistema deberá cumplir con una verificación con un monitor de TGBH de referencia.;-
R.SH-10; El sistema deberá poder ser transportable en un automóvil o vehículo doble tracción.;-
R.SH-11; El sistema de almacenamiento en nube, cálculos matemáticos, gráficos y alertas deberá poder ser actualizable en su software, de manera remota.;-
R.SH-12; El sistema deberá poder ser alimentado de manera aislada, en caso de no tener acceso a electricidad de la red eléctrica comercial;-

R.AVMS-1; El sistema deberá poder medir la temperatura seca; R.SH-1
R.AVMS-2; El sistema deberá poder medir la temperatura de globo; R.SH-1
R.AVMS-3; El sistema deberá poder medir la velocidad del viento; R.SH-1
R.AVMS-4; El sistema deberá poder medir la humedad relativa; R.SH-1
R.AVMS-5; El sistema deberá poder medir la radiación UV-A; R.SH-3
R.AVMS-6; El sistema deberá poder medir la radiación UV-B; R.SH-3
R.AVMS-7; El sistema deberá tener una memoria de almacenamiento masivo local; R.SH-5
R.AVMS-8; El sistema deberá tener una resistencia al polvo;R.SH-6
R.AVMS-9; El sistema deberá permitir su limpieza del polvo durante sus mantenimientos;R.SH-6
R.AVMS-10; El sistema deberá tener una resistencia a la lluvia;R.SH-6
R.AVMS-11; El sistema deberá admitir ser actualizable a través de un protocolo USB;R.SH-8
R.AVMS-12; El sistema deberá tener un error menor al 3% al ser comparado con el TGBH de referencia;R.SH-9
R.AVMS-13; El sistema deberá poder ser plegable, lo suficiente para que pueda ser transportable de forma segurda en el techo de un vehículo;R.SH-10
R.AVMS-14; El sistema deberá contar con un sistema de energía renovable;R.SH-12
R.AVMS-15; El sistema deberá contar con un sistema de baterías;R.SH-12
R.AVMS-16; El sistema deberá contar con acceso a internet;R.SH-4
R.AVMS-17; El sistema deberá poder codificar en hexadecimal los datos transmitidos al servidor;R.SH-4
R.AVMS-18; El sistema deberá poder enviar datos a través del protocolo MQTT;R.SH-4
R.AVMS-19; El sistema deberá tener un sistema de protección de sobretensión;R.SH-12
R.AVMS-20; El sistema deberá tener un sistema de estabilización de energía entregada a los componentes electrónicos;R.SH-12
