session,timestamp,tgbhi,tgbhe,bh,bs,globo,hr,hdx
1,2024-09-24 15:10:00,20.8,20.8,19.5,23.9,23.9,64.4,2.0
1,2024-09-24 15:11:00,20.8,20.8,19.5,23.9,23.9,64.2,2.0
1,2024-09-24 15:12:00,20.7,20.8,19.5,23.9,23.8,64.4,2.0
1,2024-09-24 15:13:00,20.7,20.7,19.4,23.9,23.8,63.7,2.0
1,2024-09-24 15:14:00,20.6,20.7,19.4,23.9,23.7,64.1,2.0
1,2024-09-24 15:15:00,20.6,20.7,19.4,23.9,23.7,64.4,2.0
1,2024-09-24 15:16:00,20.6,20.7,19.4,23.8,23.7,64.2,2.0
1,2024-09-24 15:17:00,20.6,20.6,19.3,23.8,23.7,64.2,2.0
1,2024-09-24 15:18:00,20.5,20.6,19.3,23.8,23.6,64.2,2.0
1,2024-09-24 15:19:00,20.5,20.6,19.3,23.8,23.6,64.0,2.0
1,2024-09-24 15:20:00,20.5,20.6,19.3,23.8,23.6,63.9,2.0
1,2024-09-24 15:21:00,20.5,20.5,19.3,23.8,23.5,64.1,2.0
1,2024-09-24 15:22:00,20.4,20.5,19.2,23.7,23.5,63.6,2.0
1,2024-09-24 15:23:00,20.5,20.5,19.3,23.7,23.5,64.1,2.0
1,2024-09-24 15:24:00,20.5,20.5,19.3,23.7,23.5,64.5,2.0
1,2024-09-24 15:25:00,20.5,20.5,19.3,23.7,23.4,64.6,2.0
1,2024-09-24 15:26:00,20.6,20.6,19.4,23.7,23.4,65.0,2.0
1,2024-09-24 15:27:00,20.6,20.6,19.4,23.7,23.4,64.9,2.0
1,2024-09-24 15:28:00,20.6,20.6,19.4,23.7,23.4,64.9,2.0
1,2024-09-24 15:29:00,20.5,20.5,19.3,23.6,23.4,65.0,2.0
1,2024-09-24 15:30:00,20.5,20.5,19.3,23.6,23.4,65.3,2.0
1,2024-09-24 15:31:00,20.6,20.6,19.4,23.6,23.4,65.5,2.0
1,2024-09-24 15:32:00,20.5,20.6,19.4,23.6,23.3,65.4,2.0
1,2024-09-24 15:33:00,20.5,20.6,19.4,23.6,23.3,65.4,2.0
1,2024-09-24 15:34:00,20.5,20.5,19.3,23.6,23.3,65.4,2.0
1,2024-09-24 15:35:00,20.5,20.5,19.3,23.6,23.3,65.4,2.0
1,2024-09-24 15:36:00,20.5,20.5,19.3,23.5,23.3,65.4,2.0
1,2024-09-24 15:37:00,20.5,20.5,19.3,23.5,23.3,65.5,2.0
1,2024-09-24 15:38:00,20.5,20.5,19.3,23.5,23.3,65.4,2.0
1,2024-09-24 15:39:00,20.5,20.5,19.3,23.5,23.3,65.9,2.0
1,2024-09-24 15:40:00,20.5,20.5,19.3,23.5,23.3,65.7,2.0
1,2024-09-24 15:41:00,20.5,20.5,19.3,23.5,23.3,65.8,2.0
1,2024-09-24 15:42:00,20.5,20.5,19.3,23.5,23.3,65.4,2.0
1,2024-09-24 15:43:00,20.5,20.5,19.3,23.5,23.3,65.4,2.0
1,2024-09-24 15:44:00,20.5,20.5,19.3,23.5,23.3,65.5,2.0
1,2024-09-24 15:45:00,20.5,20.5,19.3,23.5,23.3,65.3,2.0
1,2024-09-24 15:46:00,20.4,20.4,19.2,23.5,23.3,65.4,2.0
1,2024-09-24 15:47:00,20.4,20.4,19.2,23.5,23.3,65.4,2.0
1,2024-09-24 15:48:00,6.9,7.0,0.0,23.5,23.3,66.1,2.0
1,2024-09-24 15:49:00,20.4,20.4,19.2,23.5,23.3,65.1,2.0
1,2024-09-24 15:50:00,20.3,20.3,19.1,23.4,23.3,64.8,2.0
1,2024-09-24 15:51:00,20.3,20.3,19.1,23.5,23.3,64.5,2.0
1,2024-09-24 15:52:00,20.3,20.3,19.1,23.5,23.3,64.4,2.0
1,2024-09-24 15:53:00,20.3,20.3,19.1,23.4,23.3,64.5,2.0
1,2024-09-24 15:54:00,20.3,20.3,19.1,23.4,23.3,64.4,2.0
1,2024-09-24 15:55:00,20.3,20.3,19.1,23.4,23.3,64.8,2.0
1,2024-09-24 15:56:00,20.3,20.3,19.1,23.4,23.3,64.9,2.0
1,2024-09-24 15:57:00,20.3,20.3,19.1,23.4,23.3,64.4,2.0
1,2024-09-24 15:58:00,20.3,20.3,19.1,23.4,23.3,64.4,2.0
1,2024-09-24 15:59:00,20.4,20.4,19.2,23.4,23.2,65.0,2.0
1,2024-09-24 16:00:00,20.3,20.3,19.1,23.4,23.2,64.4,2.0
1,2024-09-24 16:01:00,20.3,20.3,19.1,23.4,23.2,64.6,2.0
1,2024-09-24 16:02:00,20.3,20.3,19.1,23.4,23.2,64.6,2.0
1,2024-09-24 16:03:00,20.2,20.2,18.9,23.4,23.3,63.9,2.0
1,2024-09-24 16:04:00,20.2,20.3,19.0,23.4,23.3,63.9,2.0
1,2024-09-24 16:05:00,20.2,20.3,19.0,23.4,23.3,64.0,2.0
1,2024-09-24 16:06:00,20.3,20.3,19.0,23.4,23.4,64.2,2.0
1,2024-09-24 16:07:00,20.3,20.3,19.0,23.4,23.4,64.1,2.0
1,2024-09-24 16:08:00,20.3,20.3,19.0,23.4,23.4,64.0,2.0
1,2024-09-24 16:09:00,20.3,20.3,19.0,23.4,23.4,63.9,2.0
1,2024-09-24 16:10:00,20.3,20.3,19.0,23.4,23.4,63.5,2.0
2,,,,,,,,
