session,timestamp,tgbhi,tgbhe,bh,bs,globo,hr,hdx
1,2024-09-25 14:07:00,21.7,21.6,20.3,24.8,25.0,64.5,30.0
1,2024-09-25 14:08:00,21.8,21.8,20.5,25.1,25.1,64.1,30.0
1,2024-09-25 14:09:00,21.9,21.9,20.6,25.2,25.2,63.6,30.0
1,2024-09-25 14:10:00,22.0,22.0,20.6,25.3,25.3,63.1,30.0
1,2024-09-25 14:11:00,22.0,22.0,20.6,25.4,25.3,62.4,30.0
1,2024-09-25 14:12:00,22.1,22.1,20.7,25.5,25.4,62.3,32.0
1,2024-09-25 14:13:00,22.1,22.1,20.7,25.6,25.4,62.2,32.0
1,2024-09-25 14:14:00,22.2,22.2,20.8,25.7,25.5,61.9,31.0
1,2024-09-25 14:15:00,22.2,22.2,20.8,25.8,25.5,61.5,31.0
1,2024-09-25 14:16:00,22.2,22.3,20.9,25.9,25.5,61.5,31.0
1,2024-09-25 14:17:00,22.2,22.3,20.9,26.0,25.5,61.4,31.0
1,2024-09-25 14:18:00,22.2,22.3,20.9,26.0,25.5,61.1,31.0
1,2024-09-25 14:19:00,22.2,22.3,20.9,26.0,25.5,61.1,31.0
1,2024-09-25 14:20:00,22.3,22.3,20.9,26.1,25.6,61.0,31.0
1,2024-09-25 14:21:00,22.3,22.4,21.0,26.1,25.6,60.8,31.0
1,2024-09-25 14:22:00,22.2,22.3,20.9,26.1,25.5,60.6,31.0
1,2024-09-25 14:23:00,22.2,22.2,20.8,26.0,25.5,60.5,31.0
1,2024-09-25 14:24:00,22.1,22.1,20.7,25.9,25.5,60.4,31.0
1,2024-09-25 14:25:00,22.0,22.1,20.6,25.8,25.5,60.4,31.0
1,2024-09-25 14:26:00,22.0,22.0,20.6,25.8,25.4,60.6,31.0
1,2024-09-25 14:27:00,21.9,21.9,20.5,25.6,25.4,60.8,31.0
1,2024-09-25 14:28:00,21.9,21.9,20.5,25.6,25.3,61.1,31.0
1,2024-09-25 14:29:00,21.9,21.9,20.5,25.5,25.3,61.3,31.0
1,2024-09-25 14:30:00,21.9,21.9,20.5,25.5,25.4,61.4,30.0
1,2024-09-25 14:31:00,21.9,21.9,20.4,25.4,25.4,61.4,30.0
1,2024-09-25 14:32:00,21.9,21.9,20.5,25.5,25.4,61.5,30.0
1,2024-09-25 14:33:00,22.0,22.0,20.5,25.5,25.5,61.3,31.0
1,2024-09-25 14:34:00,22.0,22.0,20.5,25.5,25.5,61.4,31.0
1,2024-09-25 14:35:00,22.0,22.0,20.5,25.5,25.5,60.9,31.0
1,2024-09-25 14:36:00,21.9,21.9,20.4,25.6,25.5,60.6,31.0
1,2024-09-25 14:37:00,22.0,22.0,20.5,25.6,25.5,60.8,31.0
1,2024-09-25 14:38:00,22.0,22.0,20.5,25.6,25.5,60.9,31.0
1,2024-09-25 14:39:00,22.0,22.0,20.5,25.6,25.5,61.0,31.0
1,2024-09-25 14:40:00,22.0,22.0,20.5,25.6,25.5,60.9,31.0
1,2024-09-25 14:41:00,22.0,22.0,20.5,25.7,25.5,60.5,31.0
1,2024-09-25 14:42:00,21.9,21.9,20.4,25.6,25.5,60.4,31.0
1,2024-09-25 14:43:00,21.9,21.9,20.4,25.6,25.6,60.0,31.0
1,2024-09-25 14:44:00,22.0,22.0,20.5,25.7,25.6,60.5,31.0
1,2024-09-25 14:45:00,21.9,21.9,20.4,25.6,25.6,59.8,31.0
